activity_start_end,activity_type,start,end,duration,description
Project_2024-05-24T13:29:33Z_2024-05-24T13:33:04Z,Project,2024-05-24T13:29:33Z,2024-05-24T13:33:04Z,0.06,time entries redux
Project_2024-05-24T13:33:04Z_2024-05-24T14:37:49Z,Project,2024-05-24T13:33:04Z,2024-05-24T14:37:49Z,1.08,time entries redux
Project_2024-05-24T14:37:49Z_2024-05-24T14:43:44Z,Project,2024-05-24T14:37:49Z,2024-05-24T14:43:44Z,0.1,time entries redux
Project_2024-05-24T14:43:44Z_2024-05-24T14:47:06Z,Project,2024-05-24T14:43:44Z,2024-05-24T14:47:06Z,0.06,time entries redux
Project_2024-05-24T14:47:06Z_2024-05-24T14:51:42Z,Project,2024-05-24T14:47:06Z,2024-05-24T14:51:42Z,0.08,time entries redux
Study_2024-05-24T17:30:00Z_2024-05-24T18:00:00Z,Study,2024-05-24T17:30:00Z,2024-05-24T18:00:00Z,0.5,practical electronics
Blog_2024-05-24T18:00:00Z_2024-05-24T19:10:00Z,Blog,2024-05-24T18:00:00Z,2024-05-24T19:10:00Z,1.17,electronics first circuit
Blog_2024-05-26T16:10:43Z_2024-05-26T18:39:56Z,Blog,2024-05-26T16:10:43Z,2024-05-26T18:39:56Z,2.49,electronics first circuit
Study_2024-05-28T06:18:23Z_2024-05-28T06:58:55Z,Study,2024-05-28T06:18:23Z,2024-05-28T06:58:55Z,0.68,electronics book
Project_2024-05-28T15:39:22Z_2024-05-28T17:41:57Z,Project,2024-05-28T15:39:22Z,2024-05-28T17:41:57Z,2.04,time entries redux
Study_2024-05-28T19:59:46Z_2024-05-28T20:39:01Z,Study,2024-05-28T19:59:46Z,2024-05-28T20:39:01Z,0.65,electronics book
Project_2024-05-29T06:17:17Z_2024-05-29T07:04:34Z,Project,2024-05-29T06:17:17Z,2024-05-29T07:04:34Z,0.79,systems obscure tweaks
Project_2024-05-29T15:45:54Z_2024-05-29T16:31:37Z,Project,2024-05-29T15:45:54Z,2024-05-29T16:31:37Z,0.76,systems obscure tweaks
Project_2024-05-29T18:22:06Z_2024-05-29T19:18:52Z,Project,2024-05-29T18:22:06Z,2024-05-29T19:18:52Z,0.95,set up prod time entries DB
Project_2024-05-29T19:19:06Z_2024-05-29T19:58:50Z,Project,2024-05-29T19:19:06Z,2024-05-29T19:58:50Z,0.66,systems obscure tweaks
Project_2024-05-30T06:19:00Z_2024-05-30T17:13:06Z,Project,2024-05-30T06:19:00Z,2024-05-30T17:13:06Z,10.9,systems obscure tweaks
Study_2024-05-30T17:13:06Z_2024-05-30T18:14:14Z,Study,2024-05-30T17:13:06Z,2024-05-30T18:14:14Z,1.02,dynamodb
Blogging_2024-05-31T08:07:58Z_2024-05-31T08:41:20Z,Blogging,2024-05-31T08:07:58Z,2024-05-31T08:41:20Z,0.56,N2T unit two
Project_2024-05-31T08:41:31Z_2024-05-31T10:02:49Z,Project,2024-05-31T08:41:31Z,2024-05-31T10:02:49Z,1.35,time entries redux
Project_2024-05-31T10:02:49Z_2024-05-31T10:04:04Z,Project,2024-05-31T10:02:49Z,2024-05-31T10:04:04Z,0.02,time entries redux
Project_2024-05-31T10:04:04Z_2024-05-31T10:22:38Z,Project,2024-05-31T10:04:04Z,2024-05-31T10:22:38Z,0.31,time entries redux
Project_2024-05-31T12:49:03Z_2024-05-31T12:57:09Z,Project,2024-05-31T12:49:03Z,2024-05-31T12:57:09Z,0.14,time entries redux
